annais,sexe,preusuel,rank
1909,1,LOUIS,3.0
1909,1,PIERRE,4.0
1909,1,MARCEL,5.0
1909,1,HENRI,6.0
1909,1,RENÉ,7.0
1909,1,JOSEPH,8.0
1909,1,GEORGES,9.0
1909,1,PAUL,10.0
1909,2,MARIE,1.0
1909,2,JEANNE,2.0
1909,2,MARGUERITE,3.0
1909,2,GERMAINE,4.0
1909,2,MADELEINE,5.0
1909,2,YVONNE,6.0
1909,2,SUZANNE,7.0
1909,2,LOUISE,8.0
1909,2,MARCELLE,9.0
1909,2,LUCIENNE,10.0
1910,1,JEAN,1.0
1910,1,ANDRÉ,2.0
1910,1,LOUIS,3.0
1910,1,PIERRE,4.0
1910,1,MARCEL,5.0
1910,1,HENRI,6.0
1910,1,RENÉ,7.0
1910,1,JOSEPH,8.0
1910,1,GEORGES,9.0
1910,1,MAURICE,10.0
1910,2,MARIE,1.0
1910,2,JEANNE,2.0
1910,2,MARGUERITE,3.0
1910,2,MADELEINE,4.0
1910,2,GERMAINE,5.0
1910,2,YVONNE,6.0
1910,2,SUZANNE,7.0
1910,2,LOUISE,8.0
1910,2,MARCELLE,9.0
1910,2,RENÉE,10.0
1911,1,JEAN,1.0
1911,1,ANDRÉ,2.0
1911,1,PIERRE,3.0
1911,1,MARCEL,4.0
1911,1,LOUIS,5.0
1911,1,RENÉ,6.0
1911,1,HENRI,7.0
1911,1,JOSEPH,8.0
1911,1,GEORGES,9.0
1911,1,ROGER,10.0
1911,2,MARIE,1.0
1911,2,JEANNE,2.0
1911,2,MARGUERITE,3.0
1911,2,MADELEINE,4.0
1911,2,YVONNE,5.0
1911,2,SUZANNE,6.0
1911,2,GERMAINE,7.0
1911,2,MARCELLE,8.0
1911,2,LOUISE,9.0
1911,2,RENÉE,10.0
1912,1,JEAN,1.0
1912,1,ANDRÉ,2.0
1912,1,PIERRE,3.0
1912,1,MARCEL,4.0
1912,1,LOUIS,5.0
1912,1,RENÉ,6.0
1912,1,HENRI,7.0
1912,1,JOSEPH,8.0
1912,1,ROGER,9.0
1912,1,GEORGES,10.0
1912,2,MARIE,1.0
1912,2,JEANNE,2.0
1912,2,MARGUERITE,3.0
1912,2,MADELEINE,4.0
1912,2,YVONNE,5.0
1912,2,SUZANNE,6.0
1912,2,GERMAINE,7.0
1912,2,MARCELLE,8.0
1912,2,LOUISE,9.0
1912,2,LUCIENNE,10.0
1913,1,JEAN,1.0
1913,1,ANDRÉ,2.0
1913,1,PIERRE,3.0
1913,1,MARCEL,4.0
1913,1,LOUIS,5.0
1913,1,RENÉ,6.0
1913,1,HENRI,7.0
1913,1,JOSEPH,8.0
1913,1,ROGER,9.0
1913,1,GEORGES,10.0
1913,2,MARIE,1.0
1913,2,JEANNE,2.0
1913,2,MARGUERITE,3.0
1913,2,MADELEINE,4.0
1913,2,YVONNE,5.0
1913,2,SUZANNE,6.0
1913,2,GERMAINE,7.0
1913,2,MARCELLE,8.0
1913,2,LOUISE,9.0
1913,2,RENÉE,10.0
1914,1,JEAN,1.0
1914,1,ANDRÉ,2.0
1914,1,PIERRE,3.0
1914,1,MARCEL,4.0
1914,1,LOUIS,5.0
1914,1,RENÉ,6.0
1914,1,HENRI,7.0
1914,1,JOSEPH,8.0
1914,1,GEORGES,9.0
1914,1,ROGER,10.0
1914,2,MARIE,1.0
1914,2,JEANNE,2.0
1914,2,MADELEINE,3.0
1914,2,MARGUERITE,4.0
1914,2,YVONNE,5.0
1914,2,SUZANNE,6.0
1914,2,GERMAINE,7.0
1914,2,MARCELLE,8.0
1914,2,LOUISE,9.0
1914,2,RENÉE,10.0
1915,1,JEAN,1.0
1915,1,PIERRE,2.0
1915,1,ANDRÉ,3.0
1915,1,LOUIS,4.0
1915,1,MARCEL,5.0
1915,1,RENÉ,6.0
1915,1,HENRI,7.0
1915,1,JOSEPH,8.0
1915,1,GEORGES,9.0
1915,1,ALBERT,10.0
1915,2,MARIE,1.0
1915,2,JEANNE,2.0
1915,2,MADELEINE,3.0
1915,2,MARGUERITE,4.0
1915,2,YVONNE,5.0
1915,2,SUZANNE,6.0
1915,2,MARCELLE,7.0
1915,2,LOUISE,8.0
1915,2,GERMAINE,9.0
1915,2,RENÉE,10.0
1916,1,JEAN,1.0
1916,1,ANDRÉ,2.0
1916,1,PIERRE,3.0
1916,1,MARCEL,4.0
1916,1,LOUIS,5.0
1916,1,RENÉ,6.0
1916,1,HENRI,7.0
1916,1,GEORGES,8.0
1916,1,JOSEPH,9.0
1916,1,MAURICE,10.0
1916,2,MARIE,1.0
1916,2,JEANNE,2.0
1916,2,MADELEINE,3.0
1916,2,MARGUERITE,4.0
1916,2,YVONNE,5.0
1916,2,MARCELLE,6.0
1916,2,SUZANNE,7.0
1916,2,LOUISE,8.0
1916,2,GERMAINE,9.0
1916,2,RENÉE,10.0
1917,1,JEAN,1.0
